order_number blaze_wavelength_nm free_spectral_range_nm order_vertical_change_m order_vertical_change_rad vertical_center_m horizontal_width_m dispersion_nm_per_micron
119 299.48 2.52 0.00051 1.9188925e-05 -0.055026 0.02894 8.7e-05
118 302.02 2.56 0.000518 1.9513751e-05 -0.054512 0.02918 8.8e-05
117 304.6 2.6 0.000527 1.9848272e-05 -0.053989 0.02943 8.8e-05
116 307.23 2.65 0.000536 2.019249e-05 -0.053458 0.02968 8.9e-05
115 309.9 2.69 0.000545 2.0546404e-05 -0.052917 0.02994 9e-05
114 312.62 2.74 0.000555 2.0910014e-05 -0.052367 0.0302 9.1e-05
113 315.39 2.79 0.000565 2.1278472e-05 -0.051807 0.03047 9.2e-05
112 318.2 2.84 0.000575 2.1661475e-05 -0.051237 0.03074 9.2e-05
111 321.07 2.89 0.000585 2.2054174e-05 -0.050658 0.03102 9.3e-05
110 323.99 2.95 0.000595 2.245657e-05 -0.050068 0.0313 9.4e-05
109 326.96 3 0.000606 2.2868661e-05 -0.049467 0.03159 9.5e-05
108 329.99 3.06 0.000617 2.3295297e-05 -0.048855 0.03188 9.6e-05
107 333.07 3.11 0.000629 2.373163e-05 -0.048233 0.03218 9.7e-05
106 336.21 3.17 0.00064 2.4182506e-05 -0.047598 0.03248 9.8e-05
105 339.41 3.23 0.000652 2.4647928e-05 -0.046952 0.03279 9.9e-05
104 342.68 3.29 0.000665 2.5123045e-05 -0.046293 0.03311 0.0001
103 346.01 3.36 0.000678 2.5612707e-05 -0.045622 0.03343 0.0001
102 349.4 3.43 0.000691 2.6116913e-05 -0.044938 0.03376 0.0001
101 352.86 3.49 0.000704 2.6635664e-05 -0.04424 0.03409 0.0001
100 356.39 3.56 0.000718 2.7173807e-05 -0.043529 0.03443 0.0001
99 359.99 3.64 0.000733 2.7726494e-05 -0.042804 0.03478 0.00011
98 363.66 3.71 0.000747 2.8293726e-05 -0.042064 0.03514 0.00011
97 367.41 3.79 0.000763 2.8880351e-05 -0.041309 0.0355 0.00011
96 371.23 3.87 0.000778 2.9486368e-05 -0.040539 0.03587 0.00011
95 375.14 3.95 0.000795 3.010693e-05 -0.039753 0.03625 0.00011
94 379.13 4.03 0.000811 3.0751732e-05 -0.03895 0.03663 0.00011
93 383.21 4.12 0.000828 3.1415927e-05 -0.03813 0.03702 0.00011
92 387.38 4.21 0.000846 3.2104362e-05 -0.037293 0.03743 0.00011
91 391.63 4.3 0.000865 3.281219e-05 -0.036438 0.03784 0.00011
