wavelength reflectivity
320.0 0.2845
320.1 0.2842
320.2 0.2840
320.3 0.2838
320.4 0.2836
320.5 0.2835
320.6 0.2833
320.7 0.2832
320.8 0.2831
320.9 0.2830
321.0 0.2829
321.1 0.2828
321.2 0.2828
321.3 0.2827
321.4 0.2827
321.5 0.2827
321.6 0.2828
321.7 0.2828
321.8 0.2828
321.9 0.2829
322.0 0.2830
322.1 0.2831
322.2 0.2832
322.3 0.2834
322.4 0.2835
322.5 0.2837
322.6 0.2838
322.7 0.2840
322.8 0.2843
322.9 0.2846
323.0 0.2849
323.1 0.2852
323.2 0.2856
323.3 0.2859
323.4 0.2863
323.5 0.2867
323.6 0.2870
323.7 0.2874
323.8 0.2877
323.9 0.2880
324.0 0.2883
324.1 0.2885
324.2 0.2887
324.3 0.2889
324.4 0.2891
324.5 0.2892
324.6 0.2892
324.7 0.2893
324.8 0.2893
324.9 0.2893
325.0 0.2893
325.1 0.2894
325.2 0.2894
325.3 0.2894
325.4 0.2895
325.5 0.2896
325.6 0.2897
325.7 0.2898
325.8 0.2899
325.9 0.2900
326.0 0.2901
326.1 0.2902
326.2 0.2903
326.3 0.2904
326.4 0.2906
326.5 0.2907
326.6 0.2908
326.7 0.2909
326.8 0.2910
326.9 0.2912
327.0 0.2914
327.1 0.2916
327.2 0.2918
327.3 0.2920
327.4 0.2923
327.5 0.2926
327.6 0.2929
327.7 0.2933
327.8 0.2937
327.9 0.2940
328.0 0.2944
328.1 0.2948
328.2 0.2951
328.3 0.2955
328.4 0.2958
328.5 0.2962
328.6 0.2965
328.7 0.2968
328.8 0.2971
328.9 0.2974
329.0 0.2977
329.1 0.2979
329.2 0.2982
329.3 0.2985
329.4 0.2989
329.5 0.2992
329.6 0.2996
329.7 0.3000
329.8 0.3004
329.9 0.3008
330.0 0.3013
330.1 0.3017
330.2 0.3022
330.3 0.3026
330.4 0.3031
330.5 0.3035
330.6 0.3040
330.7 0.3044
330.8 0.3048
330.9 0.3051
331.0 0.3055
331.1 0.3058
331.2 0.3061
