wavelength spectral_irradiance
320.0 0.77500
320.5 0.82600
321.0 0.76546
321.5 0.71900
322.0 0.73513
322.5 0.71152
323.0 0.64900
323.5 0.68138
324.0 0.74050
324.5 0.78800
325.0 0.82918
325.5 0.91377
326.0 0.99835
326.5 1.01660
327.0 1.00470
327.5 0.98679
328.0 0.95681
328.5 0.93400
329.0 1.00460
329.5 1.09580
330.0 1.10980
330.5 1.04290
331.0 0.99100
331.5 0.99396
332.0 0.99277
332.5 0.98003
333.0 0.96394
333.5 0.93700
334.0 0.95557
334.5 0.98862
335.0 1.00970
335.5 0.97453
336.0 0.88979
336.5 0.82900
337.0 0.81800
337.5 0.87732
338.0 0.92529
338.5 0.95783
339.0 0.96863
339.5 0.98900
340.0 1.05440
340.5 1.04630
341.0 0.97100
341.5 0.95900
342.0 0.99570
342.5 1.02770
343.0 1.04170
343.5 0.98301
344.0 0.85416
344.5 0.81300
345.0 0.91583
345.5 0.97021
346.0 0.94269
346.5 0.95594
347.0 0.96954
347.5 0.93318
348.0 0.92472
348.5 0.93721
349.0 0.89900
349.5 0.91969
350.0 1.01220
350.5 1.08490
351.0 1.05340
351.5 1.01290
352.0 0.98383
352.5 0.92600
353.0 0.98012
353.5 1.07520
354.0 1.13460
354.5 1.14400
355.0 1.14060
355.5 1.09640
356.0 1.02500
356.5 0.95914
357.0 0.84200
357.5 0.85015
358.0 0.78916
358.5 0.73100
359.0 0.85805
359.5 1.03210
360.0 1.08900
360.5 1.02650
361.0 0.94150
361.5 0.91800
362.0 0.95800
362.5 1.04500
363.0 1.07100
363.5 1.03800
364.0 1.07160
364.5 1.05900
365.0 1.09700
365.5 1.20410
366.0 1.28600
366.5 1.28430
367.0 1.25770
367.5 1.23170
368.0 1.15700
368.5 1.14590
369.0 1.19440
369.5 1.27950
370.0 1.29340
370.5 1.16600
371.0 1.18110
371.5 1.22490
372.0 1.14440
372.5 1.08760
373.0 1.04450
373.5 0.93900
374.0 0.93442
374.5 0.92500
375.0 0.98500
375.5 1.08740
376.0 1.12400
376.5 1.10400
377.0 1.18130
377.5 1.31490
378.0 1.41440
378.5 1.37650
379.0 1.22600
379.5 1.09800
380.0 1.15200
380.5 1.23100
381.0 1.24900
381.5 1.12240
382.0 0.95426
382.5 0.82313
383.0 0.73603
383.5 0.71095
384.0 0.82100
384.5 0.98620
385.0 1.08020
385.5 1.02960
386.0 0.99113
386.5 1.02790
387.0 1.03540
387.5 1.01860
388.0 1.00670
388.5 0.99743
389.0 1.08100
389.5 1.19580
390.0 1.25190
390.5 1.26010
391.0 1.33220
391.5 1.34900
392.0 1.24000
392.5 1.03120
393.0 0.74500
393.5 0.59120
394.0 0.76675
394.5 1.05570
395.0 1.24500
395.5 1.32450
396.0 1.16260
396.5 0.84330
397.0 0.65200
397.5 0.96142
398.0 1.30100
398.5 1.53420
399.0 1.62450
399.5 1.67170
400.0 1.68850
401.0 1.75200
402.0 1.81400
403.0 1.74000
404.0 1.76300
405.0 1.71500
406.0 1.66600
407.0 1.63000
408.0 1.69900
409.0 1.80900
410.0 1.53700
411.0 1.71500
412.0 1.81600
413.0 1.73920
414.0 1.71440
415.0 1.76880
416.0 1.81500
417.0 1.76600
418.0 1.68500
419.0 1.74900
420.0 1.59900
421.0 1.81100
422.0 1.78200
423.0 1.72100
424.0 1.70800
425.0 1.75500
426.0 1.69900
427.0 1.63800
428.0 1.65100
429.0 1.52300
430.0 1.21200
431.0 1.09900
432.0 1.82200
433.0 1.69130
434.0 1.56000
435.0 1.70900
436.0 1.86800
437.0 1.90000
438.0 1.66300
439.0 1.60100
440.0 1.83000
441.0 1.79900
442.0 1.92200
443.0 1.94900
444.0 1.89410
445.0 1.96500
446.0 1.75570
447.0 1.99000
448.0 2.01400
449.0 2.00100
450.0 2.06900
451.0 2.14200
452.0 2.04700
453.0 1.88640
454.0 2.01800
455.0 2.00100
456.0 2.06300
457.0 2.07700
458.0 2.03200
459.0 2.01200
460.0 1.99730
461.0 2.06390
462.0 2.07800
463.0 2.08400
464.0 2.01500
465.0 1.98400
466.0 2.02100
467.0 1.93100
468.0 2.01200
469.0 2.01800
470.0 1.93900
471.0 1.96900
472.0 2.07000
473.0 1.98820
474.0 2.01200
475.0 2.08000
476.0 2.01200
477.0 2.02500
478.0 2.08600
479.0 2.04000
480.0 2.06800
481.0 2.06100
482.0 2.06230
483.0 2.03100
484.0 1.98900
485.0 1.97900
486.0 1.60100
487.0 1.78900
488.0 1.93500
489.0 1.82240
490.0 2.03200
491.0 1.94900
492.0 1.85600
493.0 1.98300
494.0 1.93390
495.0 2.05100
496.0 1.94900
497.0 1.98000
498.0 1.92400
499.0 1.92300
500.0 1.91600
501.0 1.85800
502.0 1.86000
503.0 1.94900
504.0 1.83300
505.0 1.94720
506.0 2.02500
507.0 1.93540
508.0 1.88000
509.0 1.96500
510.0 1.91000
511.0 1.94100
512.0 1.98900
513.0 1.86600
514.0 1.82400
515.0 1.87500
516.0 1.89100
517.0 1.53900
518.0 1.75900
519.0 1.70400
520.0 1.86000
521.0 1.87300
522.0 1.91500
523.0 1.80400
524.0 1.94100
525.0 1.92800
526.0 1.87400
527.0 1.64100
528.0 1.88000
529.0 1.96900
530.0 1.89200
531.0 1.99500
532.0 1.95800
533.0 1.74700
534.0 1.86900
535.0 1.89500
536.0 1.97400
537.0 1.82400
538.0 1.91300
539.0 1.86400
540.0 1.80000
541.0 1.73400
542.0 1.88800
543.0 1.85100
544.0 1.91900
545.0 1.87400
546.0 1.86090
547.0 1.88200
548.0 1.82600
549.0 1.88000
550.0 1.86300
551.0 1.85900
552.0 1.89600
553.0 1.84200
554.0 1.87800
555.0 1.88900
556.0 1.85700
557.0 1.81200
558.0 1.85300
559.0 1.75500
560.0 1.78600
561.0 1.89000
562.0 1.80100
563.0 1.87100
564.0 1.83600
565.0 1.84900
566.0 1.75000
567.0 1.86800
568.0 1.85900
569.0 1.83100
570.0 1.82800
571.0 1.76200
572.0 1.87200
573.0 1.88100
574.0 1.87300
575.0 1.83400
576.0 1.81800
577.0 1.86200
578.0 1.79900
579.0 1.81600
580.0 1.83400
581.0 1.83300
582.0 1.85200
583.0 1.86300
584.0 1.85400
585.0 1.83600
586.0 1.79200
587.0 1.83800
588.0 1.82100
589.0 1.62400
590.0 1.72180
591.0 1.80900
592.0 1.78800
593.0 1.79200
594.0 1.78900
595.0 1.77800
596.0 1.79600
597.0 1.80600
598.0 1.77200
599.0 1.76400
600.0 1.77000
601.0 1.74200
602.0 1.71500
603.0 1.74900
604.0 1.77900
605.0 1.77300
606.0 1.75800
607.0 1.76200
608.0 1.75100
609.0 1.73400
610.0 1.72400
611.0 1.71200
612.0 1.73600
613.0 1.71000
614.0 1.65500
615.0 1.71200
616.0 1.66400
617.0 1.64100
618.0 1.70200
619.0 1.70900
620.0 1.71100
621.0 1.72400
622.0 1.67840
623.0 1.68200
624.0 1.66700
625.0 1.64400
626.0 1.64000
627.0 1.69300
628.0 1.69300
629.0 1.68700
630.0 1.66500
631.0 1.65900
632.0 1.59010
633.0 1.67400
634.0 1.63700
635.0 1.65200
636.0 1.60930
637.0 1.66100
638.0 1.66500
639.0 1.65300
640.0 1.61300
641.0 1.61000
642.0 1.60900
643.0 1.62500
644.0 1.61400
645.0 1.62700
646.0 1.59100
647.0 1.60600
648.0 1.60200
649.0 1.55100
650.0 1.52600
651.0 1.61300
652.0 1.59100
653.0 1.59800
654.0 1.57500
655.0 1.52300
656.0 1.32330
657.0 1.38400
658.0 1.53900
659.0 1.54200
660.0 1.55800
661.0 1.56600
662.0 1.57100
663.0 1.56300
664.0 1.55400
665.0 1.56700
666.0 1.55500
667.0 1.53540
668.0 1.53480
669.0 1.55800
670.0 1.53400
671.0 1.52900
672.0 1.50600
673.0 1.51700
674.0 1.51300
675.0 1.49900
676.0 1.51500
677.0 1.50000
678.0 1.50700
679.0 1.49300
680.0 1.49400
681.0 1.48700
682.0 1.49300
683.0 1.47600
684.0 1.46600
685.0 1.46500
686.0 1.43300
687.0 1.47200
688.0 1.47600
689.0 1.47800
690.0 1.47900
691.0 1.46800
692.0 1.45400
693.0 1.45800
694.0 1.45700
695.0 1.43500
696.0 1.44200
697.0 1.43800
698.0 1.41700
699.0 1.43400
700.0 1.42200
701.0 1.41310
702.0 1.39870
703.0 1.40950
704.0 1.41870
705.0 1.43300
706.0 1.41380
707.0 1.40400
708.0 1.39900
709.0 1.39000
710.0 1.40400
711.0 1.39700
712.0 1.38180
713.0 1.37020
714.0 1.38190
715.0 1.35020
716.0 1.36940
717.0 1.36500
718.0 1.35700
719.0 1.30100
720.0 1.34870
721.0 1.34800
722.0 1.36000
723.0 1.35100
724.0 1.36070
725.0 1.34650
726.0 1.34290
727.0 1.34440
728.0 1.33700
729.0 1.27960
730.0 1.33570
731.0 1.31040
732.0 1.33330
733.0 1.31080
734.0 1.33900
735.0 1.32710
736.0 1.31000
737.0 1.31200
738.0 1.30000
739.0 1.26460
740.0 1.28300
741.0 1.27070
742.0 1.26490
743.0 1.28920
744.0 1.29550
745.0 1.29200
746.0 1.28920
747.0 1.28900
748.0 1.28080
749.0 1.27600
750.0 1.27400
751.0 1.26800
752.0 1.27200
753.0 1.26500
754.0 1.28090
755.0 1.27710
756.0 1.26100
757.0 1.25980
758.0 1.26800
759.0 1.25000
760.0 1.25900
761.0 1.24870
762.0 1.24600
763.0 1.25430
764.0 1.25660
765.0 1.24520
766.0 1.20000
767.0 1.21200
768.0 1.23100
769.0 1.21420
770.0 1.21460
771.0 1.20730
772.0 1.21200
773.0 1.21000
774.0 1.20900
775.0 1.20800
776.0 1.21020
777.0 1.20280
778.0 1.20140
779.0 1.20670
780.0 1.19300
781.0 1.18980
782.0 1.19500
783.0 1.18960
784.0 1.18100
785.0 1.18740
786.0 1.18900
787.0 1.18770
788.0 1.18000
789.0 1.18120
790.0 1.17040
791.0 1.16320
792.0 1.15000
793.0 1.14490
794.0 1.12600
795.0 1.12800
796.0 1.14270
797.0 1.15800
798.0 1.15010
799.0 1.13500
800.0 1.12480
801.0 1.14270
802.0 1.14220
803.0 1.12410
804.0 1.13420
805.0 1.10010
806.0 1.13090
807.0 1.12300
808.0 1.11620
809.0 1.09800
810.0 1.11000
811.0 1.11430
812.0 1.11600
813.0 1.11800
814.0 1.11740
815.0 1.10910
816.0 1.10500
817.0 1.10830
818.0 1.08610
819.0 1.07380
820.0 1.07400
821.0 1.07600
822.0 1.05600
823.0 1.07600
824.0 1.07150
825.0 1.06990
826.0 1.07590
827.0 1.07620
828.0 1.07490
829.0 1.06200
830.0 1.05630
831.0 1.05600
832.0 1.05500
833.0 1.03270
834.0 1.04590
835.0 1.04760
836.0 1.05970
837.0 1.05110
838.0 1.05490
839.0 1.04000
840.0 1.05000
841.0 1.05200
842.0 1.02870
843.0 1.02710
844.0 1.01400
845.0 1.03600
846.0 1.03700
847.0 1.00600
848.0 1.01100
849.0 1.00500
850.0 0.91000
851.0 0.99800
852.0 0.99000
853.0 0.98100
854.0 0.86900
855.0 0.92700
856.0 0.99017
857.0 1.00560
858.0 1.00700
859.0 1.00500
860.0 1.00000
861.0 0.99900
862.0 1.00600
863.0 1.01200
864.0 0.99006
865.0 0.97354
866.0 0.85800
867.0 0.92500
868.0 0.96900
869.0 0.95900
870.0 0.97700
871.0 0.96317
872.0 0.97600
873.0 0.96614
874.0 0.94913
875.0 0.93562
876.0 0.96200
877.0 0.96500
878.0 0.96200
879.0 0.94571
880.0 0.94856
881.0 0.91963
882.0 0.94408
883.0 0.93930
884.0 0.94352
885.0 0.95469
886.0 0.92558
887.0 0.92300
888.0 0.94066
889.0 0.94367
890.0 0.94236
891.0 0.93928
892.0 0.93259
893.0 0.91800
894.0 0.92400
895.0 0.92600
896.0 0.93425
897.0 0.92686
898.0 0.92378
899.0 0.91396
900.0 0.91378
901.0 0.89834
902.0 0.87720
903.0 0.92233
904.0 0.92100
905.0 0.91800
906.0 0.90780
907.0 0.91450
908.0 0.90143
909.0 0.88552
910.0 0.89496
911.0 0.89730
912.0 0.89016
913.0 0.90020
914.0 0.89820
915.0 0.88830
916.0 0.89470
917.0 0.88860
918.0 0.88810
919.0 0.89210
920.0 0.88540
921.0 0.87030
922.0 0.86280
923.0 0.83335
924.0 0.86957
925.0 0.87642
926.0 0.84561
927.0 0.87809
928.0 0.87110
929.0 0.86954
930.0 0.86866
931.0 0.87078
932.0 0.86514
933.0 0.86958
934.0 0.86709
935.0 0.85601
936.0 0.85222
937.0 0.85368
938.0 0.85936
939.0 0.85676
940.0 0.84000
941.0 0.83153
942.0 0.80616
943.0 0.83814
944.0 0.81854
945.0 0.82441
946.0 0.83138
947.0 0.82809
948.0 0.83137
949.0 0.83303
950.0 0.82867
951.0 0.82019
952.0 0.82402
953.0 0.82050
954.0 0.81200
955.0 0.76900
956.0 0.80200
957.0 0.80583
958.0 0.81147
959.0 0.81483
960.0 0.80627
961.0 0.79982
962.0 0.80173
963.0 0.79761
964.0 0.78808
965.0 0.79579
966.0 0.78598
967.0 0.79503
968.0 0.78526
969.0 0.78789
970.0 0.79140
971.0 0.78186
972.0 0.78785
973.0 0.78149
974.0 0.76882
975.0 0.77348
976.0 0.78054
977.0 0.77208
978.0 0.77800
979.0 0.76650
980.0 0.77512
981.0 0.77300
982.0 0.77879
983.0 0.77541
984.0 0.76881
985.0 0.77081
986.0 0.76620
987.0 0.76606
988.0 0.76368
989.0 0.75500
990.0 0.75694
991.0 0.76161
992.0 0.75714
993.0 0.75639
994.0 0.75851
995.0 0.75392
996.0 0.75347
997.0 0.74300
998.0 0.74300
999.0 0.74200
