wavelength fwhm
320.9482666 0.008189
320.9766602 0.028480
321.0760254 0.006037
321.1751953 0.010430
321.1979492 0.008224
321.2183350 0.008888
321.3602539 0.008085
321.3808350 0.006839
321.4034668 0.007389
321.5884766 0.009007
321.6075439 0.008558
321.6311768 0.008306
321.8574707 0.008205
321.8639648 0.007580
321.8789795 0.006666
321.9034912 0.007467
322.1721680 0.006484
322.1894287 0.022242
322.2201660 0.012817
322.9870605 0.006376
323.6304688 0.006130
323.6502441 0.006167
323.8817139 0.008497
325.8510010 0.010859
325.8725098 0.006627
325.8867920 0.007877
326.0351807 0.005063
326.0523682 0.008611
326.0972412 0.006599
326.2267578 0.006450
326.2473877 0.006039
326.2695312 0.010661
326.4966064 0.008025
326.5161621 0.010722
326.5382080 0.006274
326.7065186 0.008665
326.8623047 0.007256
327.1892090 0.026941
327.6115234 0.008254
327.6334717 0.008251
328.0883545 0.005722
328.1001221 0.004804
328.1135498 0.012790
328.1398438 0.022750
328.1595459 0.010519
328.1798828 0.006102
328.5747803 0.008648
328.6704834 0.010762
328.6945068 0.006744
328.7174561 0.005979
328.8578613 0.007843
328.8816650 0.007740
328.9028564 0.006482
329.0877930 0.006651
329.2840576 0.003320
329.3126709 0.005909
329.5237793 0.012075
329.5456055 0.008522
329.5656006 0.008916
329.7191650 0.009450
329.7632080 0.011310
329.9614258 0.009700
330.0062012 0.009075
330.2520020 0.029693
330.2701660 0.008478
330.2960449 0.007356
330.5855225 0.009217
330.6077393 0.006780
330.6343750 0.007749
330.9683838 0.006699
330.9917480 0.007324
331.0162598 0.010264
331.0420654 0.008744
331.0859375 0.005723
331.1440430 0.006130
331.3075684 0.007156
331.3285645 0.018301
331.4001709 0.008588
331.4117188 0.004743
331.9086426 0.009415
332.3848389 0.009354
332.6527100 0.008554
332.8136230 0.010478
332.8811279 0.004993
333.0150879 0.007002
333.0611084 0.012598
333.3154053 0.008399
333.4815430 0.008590
333.5888916 0.007022
336.8497803 0.007374
336.8895996 0.012574
336.9061279 0.006584
336.9464355 0.011530
337.0113037 0.011222
337.0354492 0.006077
337.0567383 0.007945
337.2065674 0.008420
337.2335449 0.009728
337.2541260 0.008751
337.3191650 0.010624
337.3586670 0.006057
337.4507080 0.010457
337.4750977 0.005830
337.4965088 0.010237
337.5944092 0.011475
337.6392822 0.013699
337.7408936 0.011635
337.7465088 0.009760
337.7614990 0.008088
337.7895264 0.010936
337.7996826 0.004763
337.9753662 0.007867
338.0752441 0.003023
338.0856445 0.009030
338.0991943 0.007407
338.1263184 0.010927
338.1702148 0.008038
338.1850830 0.006249
338.3766602 0.007537
338.4594971 0.009111
338.4741699 0.000503
338.5121094 0.009317
338.5463867 0.011896
342.0329834 0.009246
342.0805176 0.007637
342.3204590 0.006924
342.3692139 0.007197
343.0617188 0.009545
343.1105957 0.008107
343.4593506 0.008027
343.5323486 0.008412
343.5661621 0.032308
344.9851318 0.007781
345.0666992 0.005484
345.1287109 0.007298
345.1521729 0.008469
345.1713867 0.009363
345.2739746 0.012811
345.3003662 0.006645
345.3239502 0.008590
345.4465332 0.015755
345.4727539 0.007025
345.4960938 0.008819
345.5222656 0.009610
345.6088623 0.004236
345.6967529 0.008524
345.7173828 0.013853
345.7407959 0.008919
345.7681152 0.008040
346.0102783 0.021758
346.0338135 0.011770
346.0612549 0.008721
346.4042236 0.009625
347.7959717 0.006960
347.8267090 0.011125
347.8738281 0.009019
347.9029297 0.014327
347.9356934 0.011089
347.9606689 0.009977
347.9959717 0.004374
348.0156982 0.010278
348.0402344 0.007579
348.0583008 0.007958
348.0752197 0.008937
348.1010010 0.011028
348.1140137 0.012306
348.1373779 0.010549
348.2214600 0.010337
348.2462891 0.014851
348.2709961 0.013533
348.2910400 0.008643
348.3487549 0.008980
348.3780273 0.010440
348.4700195 0.007960
348.4941895 0.009463
348.5199463 0.010277
348.6540283 0.005961
348.6847656 0.009676
348.7516113 0.010698
348.7750488 0.008084
348.8015137 0.009868
348.8293213 0.012688
348.8616211 0.008566
349.0579590 0.007487
349.1382568 0.011510
349.2676025 0.007146
349.4949951 0.018923
349.7387451 0.010690
349.9774170 0.006639
350.2357422 0.006714
350.2761963 0.008024
350.4805908 0.007402
350.5317627 0.009890
350.5722168 0.009238
350.8916748 0.006056
350.9850586 0.007852
351.2122314 0.009969
351.2964600 0.004689
351.7211670 0.005747
352.0845947 0.004277
354.0897461 0.007431
354.2422607 0.007817
354.2861328 0.008580
354.4206299 0.008763
354.4609863 0.009634
354.5145020 0.005768
354.5545898 0.004791
354.6212158 0.009041
354.6674072 0.008760
354.7213135 0.007561
354.7943848 0.010991
354.8841064 0.005695
354.9362549 0.011797
355.0383301 0.009471
355.0932617 0.011295
